Title,Company,Ratings,Experience,Salary,Location,Job_Post_History,Skills,Description
Principal Data Scientist- 13+  years exp || Remote,Hanu Software Solutions,3.7,NA,"37,50,000 - 50,00,000 PA.",,1 Day Ago,"['Machine Learning', 'azure', 'Python', 'predictive modelling', 'Azure ML Studio', 'Center Of Excellence', 'ADL', 'presales']", We are looking for a highly motivated and passionate Principal Data Scientist for Advan...
Data Scientist,Thoucentric Technology Pvt ltd,4.6,4-9 Yrs,Not disclosed,Bangalore/Bengaluru(HSR Layout +2),11 Days Ago,"['Time Series', 'Machine Learning', 'Python', 'IT Skills', 'Data Science', 'Cloud', 'AWS', 'Azure']", Role SummaryWe are looking for data scientists for our digital practice team to build m...
Data Scientist,Roposo,4.2,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,10 Days Ago,"['Computer science', 'Data analysis', 'Linux', 'data science', 'Neural networks', 'Analytical', 'Machine learning', 'Data structures']", What you will be doing? As an ML engineer you will be responsible for contributing to t...
Data Scientist - Process Data Modelling,Shell,4.3,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,13 Days Ago,"['Data Modelling', 'Git', 'statistical modeling', 'Multivariate Analysis', 'R', 'Advanced Analytics', 'Time Series', 'Machine Learning']", Must have strong technical skills to develop advanced analytics algorithms / modelsAs a...
Data Scientist,Apnaklub,4.3,1-3 Yrs,Not disclosed,"Bangalore/Bengaluru, Delhi / NCR",13 Days Ago,"['machine learning', 'communications', 'Python', 'GCP', 'SQL', 'AWS', 'data mining', 'IT Skills']"," Experience: a) 1 to 3 years in diving into data and building statistical models, has a ..."
Data Scientist,WAKEFLO,4.3,8-12 Yrs,Not disclosed,Bangalore/Bengaluru,13 Days Ago,"['python', 'Big Data', 'Tableau', 'machine learning', 'sql', 'Matplotlib', 'ggplot', 'Data Wrangling']", Wakeflo was founded in Mar 2022 with a vision to make machines sentient using technolog...
Data Scientist,DataPMI Technologies LLP,4.3,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,13 Days Ago,"['neo4j', 'algorithms', 'data mining', 'Data Analysis', 'Azure Databricks', 'SQL Server', 'Python', 'sql database']", Roles and Responsibilities Role : Data ScientistWe are looking for a data scientist tha...
Data Scientist,Apptio INC,4.3,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,14 Days Ago,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Cloud', 'AWS', 'Computer science', 'Artificial Intelligence']"," Bachelor s degree in a highly quantitative field (Computer Science, Machine Learning, S..."
Opening  For Data Scientist,Care Health Insurance,3.9,1-5 Yrs,"3,00,000 - 7,00,000 PA.",Gurgaon/Gurugram,10 Days Ago,"['Algorithms', 'Python', 'SQL', 'Java', 'ar', 'c++']", Experience in data mining and development of predictive model and machine-learning algo...
Manager - Data Scientist,SBI Card,3.9,1-5 Yrs,Not disclosed,Gurgaon/Gurugram,7 Days Ago,"['Operations research', 'Automation', 'Neural networks', 'Turbine', 'QlikView', 'data visualization', 'Business intelligence', 'big data']", Must have Qualification 5 years of post qualification experience 2 years of prior exper...
Assistant Vice President - Data Scientist,SBI Card,3.9,9-12 Yrs,Not disclosed,Gurgaon/Gurugram,7 Days Ago,"['Operations research', 'Automation', 'Neural networks', 'Analytical', 'Turbine', 'QlikView', 'Business intelligence', 'FSI']", Responsibilities 1. Explore data and transform it into business insights by applying bo...
Data Scientist / Machine learning Engineer,Leading US MNC into Analytics,3.9,NA,"15,00,000 - 25,00,000 PA.",,10 Days Ago,"['Data Science', 'neural networks', 'machine learning', 'learning', 'IT Skills']"," Has experience working on unstructured data ( text ): Text cleaning, TFIDF, text vector..."
Trainee Data Scientists,EinNel Technologies,3.6,0-1 Yrs,Not disclosed,Chennai,30+ Days Ago,"['Analytical', 'Python', 'Analytical skills', 'Cloud', 'Mechanical', 'Programming']"," Good Attitude towards constant learning in new AI, IOT, Cloud technologies Good Program..."
Urgent Opng as Sr Data Scientist with FMCG product base organisation,Ace Recruitment and Placment Consultants Pvt Ltd  ,3.6,6-11 Yrs,Not disclosed,Mumbai (All Areas),8 Days Ago,"['CPG', 'FMCG', 'sales analytics', 'Java', 'R', 'Python', 'C++', 'IT Skills']", PhD / Masters preferredPreferred: Experience co-leading or leading a multidisciplinary ...
Urgent Opng as Sr Data Scientist with FMCG product base organisation,Ace Recruitment and Placment Consultants Pvt Ltd  ,3.6,6-11 Yrs,Not disclosed,Mumbai (All Areas),8 Days Ago,"['CPG', 'FMCG', 'IT Skills', 'Java', 'Python', 'Data Science', 'data scientist']", PhD / Masters preferredPreferred: Experience co-leading or leading a multidisciplinary ...
Sr. Data Scientist- Advanced Analytics/Data Science & Machine Learning,Fidelity IT Jobs,3.6,7-12 Yrs,Not disclosed,Gurgaon/Gurugram,8 Days Ago,"['Data Science', 'R', 'Scala', 'Data Management', 'Advanced Analytics', 'Web Analytics', 'Data Modeling', 'Data Analytics']"," Graduate/ Post Graduate degree, preferably in Engineering / Statistics Should have a ve..."
